"","label","pval","fdr","signature","geneset","overlap","background","hits","generatio"
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"," Diseases of signal transduction by growth factor receptors and second messengers",5.8e-15,3.1e-13,3333,397,100,29522,"ADAM10,ADAM17,AGTRAP,AKAP9,AKT1S1,AKT2,APH1B,ARRB2,CAMK2D,CASP9,CDKN1B,CEP43,CHUK,CNTRL,CREBBP,CSK,CTNNB1,CUX1,DERL2,EP300,EPGN,ERBB3,ERLEC1,FGF2,FGFR1OP2,FGFR2,FRS2,FXR1,FZD4,FZD6,GOLGA4,GTF2F2,HDAC6,HDAC9,HIP1,KAT2A,KAT2B,LMO7,MAMLD1,MAP2K1,MAP2K2,MAP3K11,MAPK1,MECP2,MET,MIB1,MIB2,MLST8,MRAS,MYC,NCBP2,NCOR1,NCOR2,NR4A1,NRAS,PDPK1,PIK3CB,PIM1,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,PORCN,PPP1CC,PPP2CB,PPP2R1A,PRKAR1A,PSENEN,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PTPN12,QKI,RAP1A,RBX1,RHOG,RNF213,RPS6,SEM1,SHC1,SND1,SPRED1,SPRED3,SQSTM1,STAT5A,TBL1X,TBL1XR1,TENT4A,TGFBR2,TLN1,TNKS2,TPM4,TSC2,VCP",0.251889168765743
"REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION"," Antigen processing ubiquitination proteasome degradation",7.7e-15,4e-13,3333,292,81,29522,"ANAPC1,ANAPC11,ANAPC2,ASB3,ASB6,BTBD6,CDC23,CUL7,DTX3L,ELOC,FBXL18,FBXL19,FBXO2,FBXO30,FBXO41,FBXW11,FBXW9,HECTD2,HECTD3,HERC5,HUWE1,KCTD6,KLHL11,KLHL2,KLHL22,KLHL25,KLHL42,KLHL5,KLHL9,LMO7,LNPEP,LRRC41,MEX3C,MGRN1,MIB2,MYLIP,NEDD4,NEDD4L,NPEPPS,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,RBX1,RCHY1,RNF114,RNF123,RNF19B,RNF213,RNF217,RNF220,RNF25,RNF41,SEM1,SKP2,SMURF2,THOP1,TRAF7,TRIM11,TRIM36,TRIM41,UBA1,UBA3,UBA6,UBE2B,UBE2E3,UBE2F,UBE2G1,UBE2J1,UBE2M,UBE2O,UBE2Q2,UBE2S,UBR4,WSB1,WWP1,ZNRF2",0.277397260273973
"REACTOME_DNA_REPAIR"," Dna repair",1.2e-14,5.9e-13,3333,316,85,29522,"ABL1,ACD,ALKBH3,ALKBH5,APEX1,ASCC2,ATR,ATRIP,BAZ1B,CCNA2,COPS7A,DDB1,EME2,EP300,ERCC1,ERCC4,ERCC6,ERCC8,FAAP100,FANCA,FANCB,FANCL,GPS1,H2AC6,H2AZ1,H2BC12,H2BC13,KDM4B,KPNA2,LIG3,MCRS1,MDC1,MRE11,MUTYH,NBN,NPLOC4,PALB2,PARP1,PAXIP1,PCNA,POLD1,POLD2,POLE,POLE3,POLL,POLM,POLQ,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,PPP4C,PRPF19,RAD23B,RAD50,RAD51D,RAD9A,RBX1,RCHY1,REV1,RFC1,RFC3,RFC4,RMI2,RPA2,RPA3,SIRT6,SLX4,SPRTN,SUMO1,TDG,TERF2IP,TIMELESS,TP53,TRIM25,UBE2B,USP1,USP43,USP45,VCP,XPA,XRCC3,XRCC4,ZNF830",0.268987341772152
"REACTOME_CELL_CYCLE_CHECKPOINTS"," Cell cycle checkpoints",1.9e-14,9.2e-13,3333,280,78,29522,"ANAPC1,ANAPC11,ANAPC16,ANAPC2,ATR,ATRIP,BUB1,BUB1B,BUB3,CCNA2,CCNB1,CCNB2,CDC23,CDK1,CDKN1B,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CLASP1,DBF4,DYNC1LI2,GTSE1,H2BC12,H2BC13,INCENP,KIF2A,KIF2C,KNL1,MAD2L1,MCM2,MCM7,MDC1,MRE11,NBN,NDC80,NSL1,NUF2,NUP98,ORC6,PHF20,PKMYT1,PLK1,PMF1,PPP1CC,PPP2CB,PPP2R1A,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,RAD50,RAD9A,RANGAP1,RFC3,RFC4,RMI2,RPA2,RPA3,SEM1,SFN,SGO1,SPC24,SUMO1,TAOK1,TP53,UBE2S,XPO1,YWHAG,ZNF385A",0.278571428571429
"REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC"," Intra golgi and retrograde golgi to er traffic",2.8e-14,1.3e-12,3333,183,59,29522,"ACTR1A,AGPAT3,ARF3,ARF5,ARFGAP2,ARFIP2,ARL1,BET1L,CAPZA2,CENPE,COG7,COG8,COPB1,COPE,COPG2,CUX1,DYNC1LI2,GALNT1,GBF1,GOLGA4,GOSR2,KDELR2,KIF18B,KIF20A,KIF20B,KIF23,KIF26A,KIF2A,KIF2C,KIF3B,KIFC2,KLC2,M6PR,MAN1A1,MAN1A2,NAA30,NAPB,NAPG,RAB1A,RAB1B,RAB30,RAB6A,RAB9A,RABEPK,RGP1,RIC1,SNAP29,STX5,STX6,TMED7,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,VAMP3,VPS52,VPS54",0.322404371584699
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION"," Resolution of sister chromatid cohesion",5e-14,2.3e-12,3333,119,45,29522,"BUB1,BUB1B,BUB3,CCNB1,CCNB2,CDK1,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CLASP1,DYNC1LI2,INCENP,KIF2A,KIF2C,KNL1,MAD2L1,NDC80,NSL1,NUF2,NUP98,PLK1,PMF1,PPP1CC,PPP2CB,PPP2R1A,RAD21,RANGAP1,SGO1,SMC1A,SMC3,SPC24,STAG2,TAOK1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,XPO1",0.378151260504202
"REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT"," Er to golgi anterograde transport",7.3e-14,3.3e-12,3333,143,50,29522,"ACTR1A,ANK3,ANKRD28,ARF3,ARF5,ARFGAP2,BET1L,CAPZA2,CD55,CD59,COG7,COG8,COL7A1,COPB1,COPE,COPG2,CTSC,DYNC1LI2,F8,GBF1,GORASP1,GOSR2,KDELR2,LMAN1,LMAN2,NAPB,NAPG,PPP6C,PPP6R1,PREB,RAB1A,RAB1B,SCFD1,SEC16A,SEC23A,SEC24A,SEC24C,SPTBN2,STX5,TMED7,TMEM115,TRAPPC2,TRAPPC2L,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,USO1",0.34965034965035
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS"," Separation of sister chromatids",8.1e-14,3.5e-12,3333,182,58,29522,"ANAPC1,ANAPC11,ANAPC16,ANAPC2,BUB1,BUB1B,BUB3,CDC23,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CLASP1,DYNC1LI2,INCENP,KIF2A,KIF2C,KNL1,MAD2L1,NDC80,NSL1,NUF2,NUP98,PLK1,PMF1,PPP1CC,PPP2CB,PPP2R1A,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PTTG1,RAD21,RANGAP1,SEM1,SGO1,SMC1A,SMC3,SPC24,STAG2,TAOK1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,UBE2S,XPO1",0.318681318681319
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"," Metabolism of amino acids and derivatives",1.4e-13,5.9e-12,3333,329,85,29522,"ACAT1,ADI1,AHCY,AIMP2,ALDH9A1,APIP,ASS1,AZIN1,CARNMT1,CBS,CPS1,CSAD,DLD,EEF1E1,EEFSEC,FAU,GCAT,GLS,GLUD1,GOT1,GSR,GSTZ1,HDC,HIBADH,HPD,HSD17B10,IVD,LIPT1,MARS1,MTAP,MTRR,NQO1,OGDH,PDHX,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PYCR1,RPL11,RPL14,RPL23,RPL23A,RPL24,RPL31,RPL34,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL4,RPL5,RPS12,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27L,RPS29,RPS6,SARS1,SDSL,SECISBP2,SEM1,SERINC3,SERINC5,SLC25A10,SLC25A12,SLC25A44,SLC3A2,SLC44A1,SLC7A5,SMOX,SMS,SRM,TST,TXN2",0.258358662613982
"REACTOME_TRANSPORT_OF_SMALL_MOLECULES"," Transport of small molecules",1.9e-13,7.8e-12,3333,577,126,29522,"ABCA1,ABCA7,ABCB10,ABCB7,ABCB8,ABCC4,ABCC5,ABCD1,ADD1,ADD3,AP2A1,ARL2,ASIC1,ASIC3,ASPH,ATP11C,ATP13A1,ATP13A2,ATP6AP1,ATP6V1A,ATP6V1C2,ATP6V1D,ATP6V1E2,ATP6V1F,ATP6V1H,ATP7A,ATP8B3,ATP9A,BEST1,BEST3,CAMK2D,CLTA,CYB5RL,CYBRD1,DERL2,DMTN,ERLEC1,FGF21,FURIN,GNB1,GNG11,GNG12,HDLBP,IREB2,LPL,LRRC8D,MCOLN1,MCU,MCUB,MMGT1,MRS2,MYLIP,NCEH1,NEDD4L,NIPAL1,NPC2,NR1H2,NR1H3,PEX19,PHB2,PMPCB,PRKACA,PRKAR1A,PRKAR1B,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,RAB11A,RAB11FIP2,RNF185,SEM1,SLC16A2,SLC17A5,SLC1A1,SLC1A5,SLC20A1,SLC20A2,SLC22A15,SLC22A3,SLC25A10,SLC26A2,SLC26A9,SLC27A4,SLC2A1,SLC2A3,SLC30A6,SLC30A7,SLC31A1,SLC35A3,SLC35B2,SLC35B3,SLC35D2,SLC38A2,SLC39A3,SLC39A6,SLC39A8,SLC3A2,SLC41A1,SLC41A2,SLC44A1,SLC46A1,SLC4A2,SLC4A7,SLC50A1,SLC7A1,SLC7A11,SLC7A5,SLC9A1,SLC9A3,SLC9A7,SLCO1B3,STOM,TFR2,TFRC,TRPV1,VCP,VDAC1,VLDLR,WNK1,WWP1,ZDHHC8",0.218370883882149
"REACTOME_CHROMATIN_MODIFYING_ENZYMES"," Chromatin modifying enzymes",3.1e-13,1.2e-11,3333,250,70,29522,"ARID1A,ARID1B,ATXN7L3,BRMS1,BRPF1,BRWD1,CARM1,CCND1,CDK4,CREBBP,DNMT3A,DPY30,EED,EHMT1,ELP4,ELP5,EP300,GATAD2A,GATAD2B,H2AC21,H2AC6,H2AZ1,H2BC12,H2BC13,HCFC1,HMG20B,JADE2,KANSL3,KAT2A,KAT2B,KDM1A,KDM2A,KDM4B,KDM5C,KMT2B,KMT2D,MBD3,MCRS1,MEAF6,MORF4L1,MRGBP,MSL3,MTA2,NCOR1,NCOR2,NFKB1,OGT,PHF20,PRMT1,PRMT5,PRMT7,RCOR1,RELA,RPS2,SETD1A,SETD1B,SMARCD1,SMYD2,SMYD3,SUDS3,SUV39H1,SUZ12,TADA3,TAF10,TBL1X,TBL1XR1,TRRAP,USP22,VPS72,WDR5",0.28
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION"," Cellular response to starvation",4.5e-13,1.8e-11,3333,149,50,29522,"ATP6V1A,ATP6V1C2,ATP6V1D,ATP6V1E2,ATP6V1F,ATP6V1H,CEBPG,DDIT3,FAU,FNIP1,GCN1,IMPACT,LAMTOR3,LAMTOR5,MLST8,NPRL2,NPRL3,RHEB,RPL11,RPL14,RPL23,RPL23A,RPL24,RPL31,RPL34,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL4,RPL5,RPS12,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27L,RPS29,RPS6,RPTOR,RRAGB,SH3BP4,SLC38A9,SZT2,TRIB3,WDR24",0.335570469798658
"REACTOME_NEUTROPHIL_DEGRANULATION"," Neutrophil degranulation",5.3e-13,2.1e-11,3333,389,94,29522,"ACTR1B,ADAM10,AGL,ALDOA,AP1M1,APAF1,ARMC8,ARPC5,ARSA,ATP6AP2,ATP6V1D,B4GALT1,BRI3,C6orf120,CAB39,CCT8,CD44,CD47,CD55,CD58,CD59,CD63,CEP290,COMMD9,COPB1,COTL1,CTSC,CTSS,CYB5R3,DBNL,DEGS1,DERA,DNAJC13,DNAJC3,DOK3,ERP44,FAF2,GCA,GGH,GM2A,GNS,GRN,HEXB,HLA-A,HSPA8,HUWE1,IMPDH2,ITGAV,KPNB1,LAMP1,LAMP2,LAMTOR3,LRG1,MANBA,MAPK1,MAPK14,METTL7A,MLEC,MME,MOSPD2,NFKB1,NHLRC3,NPC2,NRAS,OSTF1,PGAM1,PGRMC1,PLAUR,PSMC3,PSMD11,PSMD12,PSMD14,RAB27A,RAB5C,RAB6A,RAB7A,RAP1A,RAP2C,RHOF,RHOG,SLC2A3,SNAP25,SNAP29,SRP14,STOM,TIMP2,TMEM30A,TOM1,TUBB,TUBB4B,UBR4,VCP,VPS35L,YPEL5",0.241645244215938
"REACTOME_RHO_GTPASES_ACTIVATE_FORMINS"," Rho gtpases activate formins",8.3e-13,3.1e-11,3333,132,46,29522,"BUB1,BUB1B,BUB3,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CLASP1,DVL1,DVL3,DYNC1LI2,EVL,INCENP,ITGB1,KIF2A,KIF2C,KNL1,MAD2L1,MRTFA,NDC80,NSL1,NUF2,NUP98,PFN1,PLK1,PMF1,PPP1CC,PPP2CB,PPP2R1A,RANGAP1,RHOB,SGO1,SPC24,SRF,TAOK1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,XPO1",0.348484848484849
"REACTOME_MITOTIC_G2_G2_M_PHASES"," Mitotic g2 g2 m phases",1e-12,3.8e-11,3333,192,58,29522,"ACTR1A,AKAP9,AURKA,CCNA2,CCNB1,CCNB2,CDK1,CENPF,CEP152,CEP164,CEP290,CEP43,CEP57,CEP70,CLASP1,CNTRL,E2F1,EP300,FBXL18,FBXW11,GTSE1,HAUS4,HAUS6,HMMR,LCMT1,MYBL2,MZT1,NEK2,OPTN,PCM1,PKMYT1,PLK1,PPP1R12A,PPP2CB,PPP2R1A,PRKACA,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,RBX1,SEM1,SSNA1,TP53,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB,TUBB4B,TUBB6,TUBGCP2,XPO1,YWHAG",0.302083333333333
"REACTOME_ESR_MEDIATED_SIGNALING"," Esr mediated signaling",1.4e-12,4.9e-11,3333,188,57,29522,"AGO2,AKT2,CARM1,CAV1,CAV2,CBFB,CCND1,CDKN1B,CHD1,CREBBP,CXXC5,ELK1,EP300,EPGN,FKBP5,FOS,FOSB,GNAI1,GNB1,GNG11,GNG12,GTF2A2,GTF2F2,H2AC6,H2AZ1,H2BC12,H2BC13,H3-3A,KAT2B,KCTD6,KDM1A,KDM4B,KPNA2,MAPK1,MED1,MYC,NRAS,PDPK1,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,PRMT1,PTK2,RAD21,SHC1,SMC1A,SMC3,SRF,STAG2,TLE3,TNRC6A,TNRC6C,UHMK1,USF2,XPO1",0.303191489361702
"REACTOME_CILIUM_ASSEMBLY"," Cilium assembly",2.2e-12,7.8e-11,3333,190,57,29522,"ACTR1A,AKAP9,B9D1,BBIP1,C2CD3,CCT3,CCT8,CDK1,CEP152,CEP162,CEP164,CEP290,CEP43,CEP57,CEP70,CEP97,CLASP1,CNTRL,DYNC2LI1,EXOC7,EXOC8,GBF1,HAUS4,HAUS6,HDAC6,HSPB11,IFT140,IFT20,IFT27,IFT43,IFT46,IFT80,IQCB1,KIF3B,NEK2,PCM1,PLK1,PPP2R1A,PRKACA,RAB11A,RP2,SSNA1,TCTN1,TCTN2,TCTN3,TMEM216,TRAF3IP1,TTC21B,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB,TUBB4B,TUBB6,UNC119B,YWHAG",0.3
"REACTOME_INFLUENZA_INFECTION"," Influenza infection",4.1e-12,1.4e-10,3333,152,49,29522,"AAAS,CLTA,CPSF4,DNAJC3,FAU,GTF2F2,KPNA2,KPNA5,KPNB1,NUP188,NUP214,NUP50,NUP54,NUP98,PARP1,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,POM121,POM121C,RAN,RPL11,RPL14,RPL23,RPL23A,RPL24,RPL31,RPL34,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL4,RPL5,RPS12,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27L,RPS29,RPS6,XPO1",0.322368421052632
"REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"," The citric acid tca cycle and respiratory electron transport",8.6e-12,2.9e-10,3333,175,53,29522,"ATP5F1B,ATP5F1E,ATP5MC1,ATP5MG,ATP5PD,ATP5PO,COX19,COX5B,COX6C,COX7A2L,COX7B,COX7C,COX8A,CYCS,DLD,ECSIT,ETFDH,GLO1,GSTZ1,IDH3A,LDHA,LDHB,MT-ND6,NDUFA11,NDUFA12,NDUFA5,NDUFA9,NDUFAF7,NDUFB1,NDUFB11,NDUFB3,NDUFB5,NDUFB6,NDUFS6,NDUFS8,NDUFV3,NNT,OGDH,PDHX,PDP1,PDP2,PDPR,PPARD,SDHD,SUCLA2,SUCLG1,SUCLG2,TMEM126B,UQCR10,UQCRB,UQCRC1,UQCRH,VDAC1",0.302857142857143
"REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"," Intracellular signaling by second messengers",1.2e-11,3.9e-10,3333,274,71,29522,"AGO2,AKT1S1,AKT2,ATN1,CAMK2D,CASP9,CBX6,CDKN1B,CHUK,EED,EGR1,EPGN,ERBB3,FGF2,FGFR2,FRS2,GATAD2A,GATAD2B,INSR,IRAK1,KDM1A,KPNA2,LAMTOR3,LAMTOR5,MAF1,MAPK1,MBD3,MET,MLST8,MTA2,NEDD4,NR4A1,OTUD3,PDPK1,PHLPP2,PIK3CB,PIP4K2A,PIP5K1B,PPP2CB,PPP2R1A,PRKACA,PRKAR1A,PRKAR1B,PRKX,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,RCOR1,RHEB,RHOG,RNF2,RPTOR,RRAGB,SEM1,SLC38A9,SNAI1,SUZ12,THEM4,TNKS2,TNRC6A,TNRC6C,TP53,TRIB3,TRIM27,TSC2,WWP2",0.259124087591241
"REACTOME_DEUBIQUITINATION"," Deubiquitination",6.9e-11,2.2e-09,3333,261,67,29522,"ADRB2,ADRM1,ARRB2,ATXN3,BIRC3,CCNA2,CDK1,EP300,FKBP8,FOXK2,H2AC21,H2AC6,H2BC12,H2BC13,HCFC1,HGS,JOSD2,KAT2A,KAT2B,MAT2B,MAVS,MBD6,MCRS1,MUL1,MYC,MYSM1,OGT,OTUB1,OTUD3,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,RAD23B,RNF123,SEM1,SKP2,SMURF2,SUDS3,TADA3,TAF10,TGFBR2,TNFAIP3,TNKS2,TP53,TRAF2,TRIM25,TRRAP,UCHL3,UCHL5,USP16,USP19,USP21,USP22,USP24,USP25,USP47,USP48,USP5,VCP,VCPIP1,VDAC1,YOD1",0.256704980842912
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT"," Mitotic spindle checkpoint",7.7e-11,2.4e-09,3333,109,38,29522,"ANAPC1,ANAPC11,ANAPC16,ANAPC2,BUB1,BUB1B,BUB3,CDC23,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CLASP1,DYNC1LI2,INCENP,KIF2A,KIF2C,KNL1,MAD2L1,NDC80,NSL1,NUF2,NUP98,PLK1,PMF1,PPP1CC,PPP2CB,PPP2R1A,RANGAP1,SGO1,SPC24,TAOK1,UBE2S,XPO1",0.348623853211009
"REACTOME_METABOLISM_OF_CARBOHYDRATES"," Metabolism of carbohydrates",1.2e-10,3.7e-09,3333,247,64,29522,"AAAS,ABCC5,AGL,AKR1A1,ALDOA,B3GALT6,B3GNT2,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GALT6,B4GALT7,CD44,DERA,FUT10,G6PD,GALE,GAPDH,GBE1,GLCE,GNPDA1,GNS,GOT1,HEXB,HK2,HMMR,HYAL2,HYAL3,IDUA,MAN2C1,MANBA,NUP188,NUP214,NUP50,NUP54,NUP98,PC,PFKFB2,PGAM1,PGLS,PGP,POM121,POM121C,PPP1R3C,PPP2CB,PPP2R1A,PRKACA,SDC2,SDC3,SLC25A1,SLC25A10,SLC25A12,SLC26A2,SLC2A1,SLC35B2,SLC35B3,SLC35D2,SLC9A1,TALDO1,TKFC,TKT,TPI1,UGP2",0.259109311740891
"REACTOME_REGULATION_OF_TP53_ACTIVITY"," Regulation of tp53 activity",1.2e-10,3.7e-09,3333,155,47,29522,"AKT2,ATR,ATRIP,AURKA,BANP,BRD7,BRPF1,CCNA2,CCNG1,CDK1,DYRK2,EHMT1,EP300,GATAD2A,GATAD2B,MAPK14,MBD3,MEAF6,MLST8,MRE11,MTA2,NBN,PDPK1,PHF20,PIP4K2A,PPP2CB,PPP2R1A,PRKAA1,PRKAG1,PRMT5,RAD50,RAD9A,RFC3,RFC4,RMI2,RPA2,RPA3,SMYD2,SSRP1,TAF10,TAF13,TAF3,TAF5,TAF6,TP53,TP53RK,ZNF385A",0.303225806451613
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA"," Processing of capped intron containing pre mrna",1.5e-10,4.6e-09,3333,237,62,29522,"AAAS,CASC3,CDC40,CPSF4,CPSF7,CSTF2,CSTF3,CWC22,CWC27,DDX39A,DHX16,EFTUD2,EIF4E,FUS,FYTTD1,GCFC2,GLE1,GTF2F2,HNRNPA0,HNRNPA2B1,HNRNPD,HNRNPF,HSPA8,LSM3,LSM4,LSM5,LSM6,LSM8,MAGOH,NCBP2,NUP188,NUP214,NUP50,NUP54,NUP98,POLDIP3,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,POM121,POM121C,PPIL1,PRPF19,PRPF8,RBM17,SF3B2,SF3B6,SNRNP200,SNRNP27,SNRPA1,SNRPB,SNRPE,SNRPF,SRRM2,SRSF9,SYF2,SYMPK,THOC7,U2AF2,ZMAT5",0.261603375527426
"REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT"," Copi mediated anterograde transport",1.7e-10,5.1e-09,3333,93,34,29522,"ACTR1A,ANK3,ARF3,ARF5,ARFGAP2,BET1L,CAPZA2,CD55,CD59,COG7,COG8,COPB1,COPE,COPG2,DYNC1LI2,GBF1,GORASP1,GOSR2,KDELR2,NAPB,NAPG,RAB1A,RAB1B,SPTBN2,STX5,TMED7,TMEM115,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,USO1",0.365591397849462
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF"," Regulation of cholesterol biosynthesis by srebp srebf",1.9e-10,5.6e-09,3333,55,25,29522,"ACACA,CARM1,CREBBP,CYP51A1,ELOVL6,FASN,HMGCS1,IDI1,KPNB1,MED1,MTF1,MVK,NCOA6,NFYA,NFYB,RAN,SCAP,SCD,SEC23A,SEC24A,SEC24C,SREBF1,SREBF2,TBL1X,TBL1XR1",0.454545454545455
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION"," Mhc class ii antigen presentation",2.2e-10,6.3e-09,3333,103,36,29522,"ACTR1A,ACTR1B,AP1B1,AP1M1,AP1S1,AP1S2,AP2A1,CAPZA2,CENPE,CLTA,CTSC,CTSL,CTSS,CTSV,DNM2,DYNC1LI2,KIF20A,KIF23,KIF26A,KIF2A,KIF2C,KIF3B,KLC2,LGMN,OSBPL1A,RAB7A,SEC23A,SEC24A,SEC24C,SPTBN2,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6",0.349514563106796
"REACTOME_HEME_SIGNALING"," Heme signaling",2.4e-10,6.6e-09,3333,44,22,29522,"ARNTL,BACH1,CARM1,CREBBP,CRTC1,CRTC2,CRTC3,EP300,MAFK,MED1,MEF2D,NCOA6,NCOR1,NFE2L2,NPAS2,PPARGC1A,RAI1,SLC46A1,TBL1X,TBL1XR1,TLR4,XPO1",0.5
"REACTOME_RRNA_PROCESSING"," Rrna processing",2.7e-10,7.3e-09,3333,201,55,29522,"BOP1,BYSL,DCAF13,DDX49,DIMT1,EBNA1BP2,ELAC2,EXOSC3,FAU,FTSJ3,HSD17B10,LTV1,MPHOSPH10,MT-RNR1,NAT10,NOB1,NOC4L,NOL6,PELP1,PES1,RIOK1,RIOK3,RPL11,RPL14,RPL23,RPL23A,RPL24,RPL31,RPL34,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL4,RPL5,RPP25,RPP38,RPS12,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27L,RPS29,RPS6,RRP7A,SENP3,TBL3,TFB1M,TRMT10C,WDR18",0.27363184079602
"REACTOME_RHOA_GTPASE_CYCLE"," Rhoa gtpase cycle",2.8e-10,7.6e-09,3333,138,43,29522,"AAAS,ACBD5,ANLN,ARAP3,ARHGAP1,ARHGAP18,ARHGAP28,ARHGAP35,ARHGAP39,ARHGAP4,ARHGAP5,ARHGDIB,ARHGEF11,ARHGEF17,ARHGEF28,ARHGEF7,ATP6AP1,C1QBP,CAV1,CAVIN1,DEPDC1B,ECT2,FAF2,FLOT2,KTN1,LBR,LMAN1,MYO9B,PGRMC2,PKN1,PKN2,PLEKHG4,PLEKHG5,RHPN2,ROCK2,SCFD1,SOWAHC,STOM,STX5,TFRC,TMEM87A,VAMP3,VAV3",0.311594202898551
"REACTOME_TRANSLATION"," Translation",5.8e-10,1.5e-08,3333,291,70,29522,"AIMP2,EEF1E1,EIF2B4,EIF3E,EIF3H,EIF4A2,EIF4E,EIF4G1,EIF5,ERAL1,FARSA,FAU,GADD45GIP1,MARS1,MRPL13,MRPL33,MRPL37,MRPL39,MRPL4,MRPL43,MRPS14,MRPS18A,MRPS2,MRPS21,MRPS26,MRPS6,MRRF,MT-RNR1,PPA1,PPA2,PTCD3,RPL11,RPL14,RPL23,RPL23A,RPL24,RPL31,RPL34,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL4,RPL5,RPN1,RPS12,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27L,RPS29,RPS6,SARS1,SEC11A,SEC11C,SEC61A1,SEC61G,SPCS3,SRP14,SRP9,SSR2,SSR4,TARS2,VARS1,WARS1",0.240549828178694
"REACTOME_TP53_REGULATES_METABOLIC_GENES"," Tp53 regulates metabolic genes",5.9e-10,1.5e-08,3333,83,31,29522,"AGO2,AKT2,COX19,COX5B,COX6C,COX7A2L,COX7B,COX7C,COX8A,CYCS,G6PD,GLS,GSR,LAMTOR3,LAMTOR5,MLST8,PRKAA1,PRKAG1,RHEB,RPTOR,RRAGB,RRM2B,SESN3,SFN,SLC38A9,TNRC6A,TNRC6C,TP53,TSC2,TXN,YWHAG",0.373493975903614
